Sample	Number_reads	Uniquely_mapping_reads	Mapped_to_multiple_loci	Mapped_to_too_many_loci	Unmapped_reads_too_short
R_variabilis_striped_7_M15_083_L2	14870659	70.80%	3.91%	0.02%	25.00%
R_variabilis_striped_7_M15_084_L6	25280908	71.44%	4.06%	0.02%	24.24%
R_variabilis_striped_8_M15_078_L7	20354123	70.74%	3.84%	0.01%	25.21%
R_variabilis_striped_8_M15_79_L5	14224005	62.12%	4.74%	0.02%	32.91%
R_variabilis_striped_8_M15_80_L5	17028925	65.27%	4.49%	0.02%	30.00%
S1-2	28494382	78.08%	2.55%	0.09%	18.89%
S1-4	25852312	77.32%	3.01%	0.11%	19.08%
S1-7	26056743	77.52%	2.97%	0.10%	18.99%
S1-8	25808785	78.74%	2.57%	0.07%	18.32%
S2-2	26503445	77.34%	2.86%	0.11%	19.25%
S2-4	27066116	78.24%	2.85%	0.10%	18.38%
S2-7	27961420	77.83%	3.13%	0.10%	18.50%
S2-8	23953483	76.11%	3.31%	0.08%	20.12%
S3-2	13538258	78.61%	4.35%	0.11%	16.37%
S3-8	23787633	78.55%	2.62%	0.08%	18.43%
S5-4	24485745	79.48%	4.44%	0.13%	15.43%
S5-7	16331929	80.39%	3.50%	0.13%	15.22%
T1-4	26901076	77.50%	2.97%	0.10%	19.00%
T1-7	27411417	77.40%	3.20%	0.10%	18.89%
T2-2	24038303	78.23%	2.59%	0.09%	18.74%
T2-4	28285396	78.78%	2.78%	0.09%	17.96%
T2-7	10915636	80.03%	4.17%	0.11%	15.05%
T3-2	24601511	78.24%	2.85%	0.10%	18.41%
T3-4	27458404	78.89%	2.53%	0.08%	18.14%
T3-7	25573459	77.22%	3.22%	0.11%	18.99%
T4-2a	11560525	79.27%	3.16%	0.11%	16.87%
T4-2b	9941606	78.92%	3.72%	0.13%	16.57%
T4-4	12684485	79.46%	3.82%	0.13%	15.84%
T4-7	60071590	79.61%	3.49%	0.13%	16.12%
T4-8	12048009	79.89%	3.61%	0.12%	15.78%
V2-4	28009266	78.49%	2.62%	0.08%	18.48%
V2-7	29340092	77.69%	3.29%	0.10%	18.47%
V2-8	25762949	77.21%	2.96%	0.08%	19.38%
V4-8	25920100	77.95%	3.00%	0.09%	18.55%
V5-4	28921268	78.60%	2.73%	0.08%	18.21%
V5-7	25411667	78.21%	3.37%	0.08%	17.95%
V5-8	25365716	78.38%	3.07%	0.09%	18.05%
V6-2	14433811	76.82%	3.70%	0.13%	18.26%
V6-4	28564897	77.56%	3.21%	0.09%	18.72%
V6-7	12564299	79.97%	3.93%	0.12%	15.33%
V8-2a	13822111	76.21%	3.96%	0.14%	18.75%
V8-2b	21314723	76.68%	3.67%	0.13%	18.80%
