Sample	Number_reads	Uniquely_mapping_reads	Mapped_to_multiple_loci	Mapped_to_too_many_loci	Unmapped_reads_too_short
R_variabilis_striped_7_M15_082_L7_	27283507	57.61%	6.91%	0.96%	34.13%
R_variabilis_striped_7_M15_083_L2_	18878403	57.87%	5.42%	0.45%	35.74%
R_variabilis_striped_7_M15_084_L6_	30264028	60.39%	5.69%	0.50%	32.93%
R_variabilis_striped_8_M15_078_L7_	23867879	59.84%	5.75%	0.40%	33.64%
R_variabilis_striped_8_M15_79_L5_	18754364	46.87%	6.81%	0.94%	44.91%
R_variabilis_striped_8_M15_80_L5_	21230067	51.69%	5.86%	0.52%	41.47%
S1-2.	28495848	78.31%	4.73%	0.93%	15.27%
S1-4.	25853653	76.40%	5.20%	1.27%	16.22%
S1-7.	26058143	77.05%	6.27%	1.09%	14.76%
S1-8.	25809676	78.41%	6.64%	0.89%	13.45%
S2-2.	26504706	77.51%	5.00%	1.13%	15.46%
S2-4.	27067451	76.78%	4.93%	1.19%	16.22%
S2-7.	27962851	78.36%	5.81%	1.25%	13.72%
S2-8.	23953675	75.46%	8.91%	1.02%	13.88%
S3-2.	13539593	76.26%	7.76%	4.78%	10.08%
S3-8.	23787824	79.56%	5.16%	0.96%	13.65%
S5-4.	24488190	75.99%	8.18%	4.92%	9.83%
S5-7.	16333634	80.46%	6.03%	2.39%	9.65%
T1-4.	26902396	76.48%	4.83%	1.27%	16.43%
T1-7.	27412791	77.04%	7.55%	1.06%	13.46%
T2-2.	24039493	78.46%	4.63%	0.87%	15.25%
T2-4.	28286815	78.83%	5.08%	1.05%	14.17%
T2-7.	10916809	77.46%	7.17%	3.96%	10.07%
T3-2.	24602747	79.35%	4.82%	1.13%	13.89%
T3-4.	27459749	76.89%	4.81%	0.91%	16.65%
T3-7.	25574797	76.89%	6.49%	1.09%	14.62%
T4-2a.	11561714	79.73%	5.26%	1.95%	11.87%
T4-2b.	9942571	80.46%	6.06%	2.68%	9.44%
T4-4.	12685784	80.43%	6.24%	2.67%	9.17%
T4-7.	60077764	81.01%	5.89%	1.60%	10.15%
T4-8.	12049228	79.49%	7.17%	2.49%	9.62%
V2-4.	28010573	76.08%	4.87%	1.03%	17.28%
V2-7.	29341564	77.63%	5.86%	1.33%	14.22%
V2-8.	25763177	76.71%	6.88%	1.05%	14.62%
V4-8.	25920339	78.31%	6.39%	1.12%	13.31%
V5-4.	28921514	78.48%	4.83%	1.13%	14.73%
V5-7.	25411876	77.69%	6.07%	1.21%	14.14%
V5-8.	25365942	78.22%	7.11%	1.06%	12.81%
V6-2.	14435324	77.17%	5.71%	2.43%	12.88%
V6-4.	28566327	77.28%	5.58%	1.35%	14.87%
V6-7.	12565600	79.77%	6.04%	2.58%	10.21%
V8-2a.	13823515	76.91%	6.10%	2.94%	12.41%
V8-2b.	21316913	77.51%	6.11%	2.99%	12.05%
